Total number of Nodes,MinP,MaxP,VarP,SumMinP,SumMaxP,MinM,MaxM,SumM,VarM,VarX×VarY,mean_distance,median_distance,std_distance,min_distance,max_distance,sum_distance,density,percentile_25,percentile_50,percentile_75,Total Time Window,Average Time Window,Max Time Window,Min Time Window,Standard Deviation of Time Window,Mean Latitude,Mean Longitude,Standard Deviation of Latitude,Standard Deviation of Longitude,Min Latitude,Max Latitude,Min Longitude,Max Longitude,Average Distance from Center,Max Distance from Center,Min Distance from Center,Standard Deviation of Distance from Center,AvgDepotDist,MaxDepotDist,MinDepotDist,StdDevDepotDist,tour_length
61,0,1394,91349.71165334052,2658.0,69683,1242.0288465803458,2426.8840543204265,122993.65707523459,41976.86945971377,2.9642579220670484e-07,439.2496640687987,428.0,302.24114818029085,0,1394,1634448,26794.22950819672,159.0,428.0,632.0,5270339,86399.0,86399,86399,0.0,47.47626032786885,7.55308786885246,0.016583188699206407,0.03283144155340432,47.44629,47.54438,7.50934,7.6854,0.030339230181539823,0.14179720276805932,0.005206381776886471,0.020795115145140066,0.14593663260215453,0.18357582547819376,0.08696381143901062,0.022792708331333126,827
153,-26,991,19194.260898123634,4057.0,101812,881.4385968404151,2099.5673659549498,239342.55121498942,66743.60912043056,2.8584220125455675e-08,246.54842154726813,244.0,138.54335385764136,-26,991,5771452,37721.90849673202,128.0,244.0,346.0,11194976,73169.77777777778,86399,3600,27847.495138108152,47.55143241830066,7.583021699346404,0.01032210699637581,0.01637928038316676,47.52725,47.56845,7.55736,7.6854,0.016492878815643416,0.10519555979025803,0.004805619624755523,0.010139608823200353,0.10613452129248338,0.13329548079360992,0.0743645648141639,0.01586395919054943,-1
31,0,1470,105117.98583248242,2792.0,40992,1170.808584669366,1762.4417537847512,47847.71386766279,19107.225430042054,5.361712334076904e-07,424.894901144641,336.0,324.21903989815655,0,1470,408324,13171.741935483871,164.0,336.0,624.0,2479472,79982.96774193548,86399,13500,19787.485972907016,47.40297451612903,7.728209354838709,0.023640921170676475,0.030973291505433202,47.38917,47.52725,7.68335,7.78581,0.03324348203631698,0.1314421422264235,0.01215217934145866,0.02032507915309926,0.1390517288865351,0.1563987730130933,0.12187623271171491,0.009295189275427993,-1
47,0,1190,52430.59300351805,2102.0,40396,1109.2239284311602,1662.6762392587877,66517.10594160917,17655.728905723023,2.9546108225225677e-07,426.1973743775464,486.0,228.97727617280728,0,1190,941470,20031.27659574468,196.0,486.0,573.0,3799757,80845.89361702128,86399,1800,18742.067513772603,47.47257617021277,7.784975957446808,0.015716038501601016,0.034586535238846604,47.44531,47.52725,7.6854,7.8543,0.03347281092863584,0.11359841092661493,0.01658466393443078,0.017966446909380315,0.11719999336868014,0.17467659402450098,0.0853251779957139,0.0303955911782825,60527
28,0,1333,98955.6027631716,2149.0,28333,1025.0566360659577,1721.6040278099454,41786.35275347689,34148.244339278324,4.246363774864565e-07,466.109693877551,432.5,314.5720946987695,0,1333,365430,13051.07142857143,159.75,432.5,702.25,2366914,84532.64285714286,86399,34200,9686.527813759412,47.442862142857145,7.796007500000002,0.021188861015223676,0.030753955799562263,47.41746,47.52725,7.6854,7.8325,0.028852032680671474,0.13912343256768006,0.011055736881123995,0.02371357920343026,0.14632790684999308,0.16415982121091707,0.1323697688295964,0.010332915002834883,29971
69,0,3113,191367.5099098823,4896.0,182905,2551.119856404071,3183.048805100571,192597.5308163025,28578.76737311463,1.9564108842433396e-06,384.84036967023735,256.0,437.45572337081416,0,3113,1832225,26553.985507246376,152.0,256.0,533.0,4909388,71150.55072463768,86399,9000,28380.27487357374,47.35850043478261,7.329191449275362,0.02410224100680491,0.05803267775792071,47.33223,47.52725,7.23802,7.6854,0.03763226323821664,0.394158530759395,0.0017202399477552624,0.05032417384194539,0.4000413357332148,0.4873221037465891,0.36007329934334226,0.040241469396598735,-1
20,0,2128,192293.24937499996,3461.0,33345,1397.2167333667314,1821.3076483669638,31420.21591287685,6997.3499705008335,3.094142054345824e-06,539.025,488.5,438.51254186739055,0,2128,215610,10780.5,237.5,488.5,646.25,1673981,83699.05,86399,32400,11768.809202612641,47.5259745,8.047468,0.019893675998919436,0.08842093109665844,47.4867,47.5545,7.6854,8.14504,0.05081960098570498,0.3620702466707953,0.008279526209275821,0.07504257162706868,0.3816733885569503,0.45971385360895994,0.33329765810758394,0.031086232679312382,29682
27,0,4037,822495.0594064065,4390.0,101301,2804.221724736024,3936.922378561053,96829.04042463051,94924.8593213572,2.6714494993617647e-05,644.7914951989026,539.0,906.9151335193422,0,4037,470053,17409.37037037037,122.0,539.0,674.0,2332773,86399.0,86399,86399,0.0,47.25001444444445,7.290584444444444,0.054874863322758184,0.094188966772804,47.23002,47.52725,7.21196,7.6854,0.07226569104664057,0.4824301775105244,0.0324230119848999,0.08161177601284793,0.5018324826679329,0.5590090397301269,0.4190631076580229,0.04684414659387707,1587
24,0,2089,175127.15926106772,2516.0,40890,1313.614177882278,1825.1540231808751,39700.919657912134,24887.262701398507,1.6072525072372853e-06,507.953125,447.0,418.4819700549448,0,2089,292581,12190.875,170.5,447.0,628.75,1894479,78936.625,86399,15300,19948.227602581013,47.425504999999994,7.497547916666666,0.02453098788607331,0.051680537034358626,47.39495,47.52725,7.42126,7.6854,0.03928269511597451,0.21363625684250165,0.01202686905808747,0.04158746372708705,0.22355377659413989,0.2943710977660696,0.17733595066990954,0.032610778840509516,29225
65,0,836,77702.95145105563,1748.0,49583,1046.5802405931427,2436.0155898200146,140629.56072446684,110504.15584461365,1.8102439464991636e-07,397.49065088757396,375.0,278.75249138089447,0,836,1679398,25836.89230769231,125.0,375.0,692.0,5082543,78192.96923076923,86399,10800,22145.62364960225,47.51488538461539,7.760165846153845,0.010415345642467478,0.04085026375556723,47.5012,47.53261,7.6854,7.82001,0.04038431617928711,0.07578136621036824,0.02028078913126749,0.012096713623246822,0.07882123762711099,0.13461019649343095,0.039802041404934284,0.03774588779993921,-1
